Cód_IBGE;Município;Sigla UF;Região;Mês/Ano;Vítimas
3538006;Pindamonhangaba;SP;SUDESTE;jan/18;1
3538105;Pindorama;SP;SUDESTE;jan/18;0
3538204;Pinhalzinho;SP;SUDESTE;jan/18;0
3538303;Piquerobi;SP;SUDESTE;jan/18;0
3538501;Piquete;SP;SUDESTE;jan/18;0
3538600;Piracaia;SP;SUDESTE;jan/18;0
3538709;Piracicaba;SP;SUDESTE;jan/18;2
3538808;Piraju;SP;SUDESTE;jan/18;0
3538907;Pirajuí;SP;SUDESTE;jan/18;0
3539004;Pirangi;SP;SUDESTE;jan/18;0
3539103;Pirapora Do Bom Jesus;SP;SUDESTE;jan/18;1
3539202;Pirapozinho;SP;SUDESTE;jan/18;0
3539301;Pirassununga;SP;SUDESTE;jan/18;1
3539400;Piratininga;SP;SUDESTE;jan/18;0
3539509;Pitangueiras;SP;SUDESTE;jan/18;0
3539608;Planalto;SP;SUDESTE;jan/18;0
3539707;Platina;SP;SUDESTE;jan/18;0
3539806;Poá;SP;SUDESTE;jan/18;2
3539905;Poloni;SP;SUDESTE;jan/18;0
3540002;Pompéia;SP;SUDESTE;jan/18;0
3540101;Pongaí;SP;SUDESTE;jan/18;0
3540200;Pontal;SP;SUDESTE;jan/18;0
3540259;Pontalinda;SP;SUDESTE;jan/18;0
3540309;Pontes Gestal;SP;SUDESTE;jan/18;0
3540408;Populina;SP;SUDESTE;jan/18;0
3540507;Porangaba;SP;SUDESTE;jan/18;1
3540606;Porto Feliz;SP;SUDESTE;jan/18;0
3540705;Porto Ferreira;SP;SUDESTE;jan/18;1
3540754;Potim;SP;SUDESTE;jan/18;1
3540804;Potirendaba;SP;SUDESTE;jan/18;0
3540853;Pracinha;SP;SUDESTE;jan/18;0
3540903;Pradópolis;SP;SUDESTE;jan/18;0
3541000;Praia Grande;SP;SUDESTE;jan/18;7
3541059;Pratânia;SP;SUDESTE;jan/18;0
3541109;Presidente Alves;SP;SUDESTE;jan/18;0
3541208;Presidente Bernardes;SP;SUDESTE;jan/18;0
3541307;Presidente Epitácio;SP;SUDESTE;jan/18;0
3541406;Presidente Prudente;SP;SUDESTE;jan/18;1
3541505;Presidente Venceslau;SP;SUDESTE;jan/18;0
3541604;Promissão;SP;SUDESTE;jan/18;0
3541653;Quadra;SP;SUDESTE;jan/18;0
3541703;Quatá;SP;SUDESTE;jan/18;0
3541802;Queiroz;SP;SUDESTE;jan/18;0
3541901;Queluz;SP;SUDESTE;jan/18;0
3542008;Quintana;SP;SUDESTE;jan/18;0
3542107;Rafard;SP;SUDESTE;jan/18;0
3542206;Rancharia;SP;SUDESTE;jan/18;0
3542305;Redenção Da Serra;SP;SUDESTE;jan/18;0
3542404;Regente Feijó;SP;SUDESTE;jan/18;0
3542503;Reginópolis;SP;SUDESTE;jan/18;0
3542602;Registro;SP;SUDESTE;jan/18;0
3542701;Restinga;SP;SUDESTE;jan/18;0
3542800;Ribeira;SP;SUDESTE;jan/18;0
3542909;Ribeirão Bonito;SP;SUDESTE;jan/18;0
3543006;Ribeirão Branco;SP;SUDESTE;jan/18;0
3543105;Ribeirão Corrente;SP;SUDESTE;jan/18;0
3543204;Ribeirão Do Sul;SP;SUDESTE;jan/18;0
3543238;Ribeirão Dos Índios;SP;SUDESTE;jan/18;0
3543253;Ribeirão Grande;SP;SUDESTE;jan/18;0
3543303;Ribeirão Pires;SP;SUDESTE;jan/18;1
3543402;Ribeirão Preto;SP;SUDESTE;jan/18;1
3543501;Riversul;SP;SUDESTE;jan/18;0
3543600;Rifaina;SP;SUDESTE;jan/18;0
3543709;Rincão;SP;SUDESTE;jan/18;0
3543808;Rinópolis;SP;SUDESTE;jan/18;0
